t_s,I_A,voltage_V,T_degC,soc,pulse_id,seg_type
0.0,0.0,3.6073142390541686,25.0,0.2,1,rest
0.1,0.0,3.607318999393683,25.0,0.2,1,rest
0.2,0.0,3.60731408758301,25.0,0.2,1,rest
0.3,0.0,3.607297751639932,25.0,0.2,1,rest
0.4,0.0,3.6073198367709143,25.0,0.2,1,rest
0.5,0.0,3.607315246957972,25.0,0.2,1,rest
0.6,0.0,3.607305413679895,25.0,0.2,1,rest
0.7,0.0,3.60731659439329,25.0,0.2,1,rest
0.8,0.0,3.60731442893621,25.0,0.2,1,rest
0.9,0.0,3.607313724537215,25.0,0.2,1,rest
1.0,0.0,3.607311067434661,25.0,0.2,1,rest
1.1,0.0,3.607316250342114,25.0,0.2,1,rest
1.2,0.0,3.607303418671378,25.0,0.2,1,rest
1.3,0.0,3.607309154112768,25.0,0.2,1,rest
1.4,0.0,3.607305962019121,25.0,0.2,1,rest
1.5,0.0,3.607316771674374,25.0,0.2,1,rest
1.6,0.0,3.607311180433322,25.0,0.2,1,rest
1.7,0.0,3.6073078586447385,25.0,0.2,1,rest
1.8,0.0,3.607302964127624,25.0,0.2,1,rest
1.9,0.0,3.607308211289842,25.0,0.2,1,rest
2.0,0.0,3.607310864634053,25.0,0.2,1,rest
2.1,0.0,3.607308027183195,25.0,0.2,1,rest
2.2,0.0,3.607323723850392,25.0,0.2,1,rest
2.3,0.0,3.607320850455401,25.0,0.2,1,rest
2.4,0.0,3.6072836715874574,25.0,0.2,1,rest
2.5,0.0,3.607291893079789,25.0,0.2,1,rest
2.6,0.0,3.607309035491328,25.0,0.2,1,rest
2.7,0.0,3.607306561308132,25.0,0.2,1,rest
2.8,0.0,3.607312919642223,25.0,0.2,1,rest
2.9,0.0,3.6073129564315582,25.0,0.2,1,rest
3.0,0.0,3.6073319615997983,25.0,0.2,1,rest
3.1,0.0,3.607299663004621,25.0,0.2,1,rest
3.2,0.0,3.6073070071621767,25.0,0.2,1,rest
3.3,0.0,3.607331210928323,25.0,0.2,1,rest
3.4,0.0,3.60731725024221,25.0,0.2,1,rest
3.5,0.0,3.607317413845972,25.0,0.2,1,rest
3.6,0.0,3.607305643148531,25.0,0.2,1,rest
