t_s,F_N,p_kPa,thickness_um,T_degC,V_V,I_A,soc,seg_type
0.0,350.3455841920648,25.951524754967764,4969.971960648331,25.0,3.58,-0.0,0.2,rest
1.0,350.82161814350115,25.9872031958149,4970.001228436632,25.0,3.58,-0.0,0.2,rest
2.0,350.3304370761834,25.951236079717287,4970.056986087432,25.0,3.58,-0.0,0.2,rest
3.0,348.69684276839564,25.8306457606219,4969.977342848725,25.0,3.58,-0.0,0.2,rest
4.0,350.9053558666731,25.99465599012393,4970.045986813037,25.0,3.58,-0.0,0.2,rest
5.0,350.446374572364,25.961074042397332,4969.982611074931,25.0,3.58,-0.0,0.2,rest
6.0,349.4630467646397,25.888651612195535,4970.0492793491785,25.0,3.58,-0.0,0.2,rest
7.0,350.5811181041964,25.97188837808862,4969.965569884469,25.0,3.58,-0.0,0.2,rest
8.0,350.3645723961861,25.956264621939717,4969.998557709384,25.0,3.58,-0.0,0.2,rest
9.0,350.29413249665555,25.95146351827078,4970.044583764254,25.0,3.58,-0.0,0.2,rest
10.0,350.0284222413158,25.93219794380117,4969.998634958568,25.0,3.58,-0.0,0.2,rest
11.0,350.5467129866124,25.971006517526845,4969.874595535248,25.0,3.58,-0.0,0.2,rest
12.0,349.2635459129983,25.876373771333206,4969.982039932102,25.0,3.58,-0.0,0.2,rest
13.0,349.83709005200694,25.91927518903755,4970.022244089849,25.0,3.58,-0.0,0.2,rest
14.0,349.51788068732003,25.89604671757926,4970.000191198492,25.0,3.58,-0.0,0.2,rest
15.0,350.5988462126346,25.976534904639603,4969.941808223031,25.0,3.58,-0.0,0.2,rest
16.0,350.0397221074817,25.93553497092457,4969.971313940757,25.0,3.58,-0.0,0.2,rest
17.0,349.7075432490349,25.911345796224808,4970.035253106299,25.0,3.58,-0.0,0.2,rest
18.0,349.21809153764315,25.87550678056616,4970.044146238891,25.0,3.58,-0.0,0.2,rest
19.0,349.74280775938115,25.914791315509717,4970.022385570178,25.0,3.58,-0.0,0.2,rest
20.0,350.00814218051835,25.9348623837421,4969.96183754321,25.0,3.58,-0.0,0.2,rest
21.0,349.72439709470063,25.914260895903748,4969.949781973203,25.0,3.58,-0.0,0.2,rest
22.0,351.2940638143982,26.030949171436905,4970.10865444568,25.0,3.58,-0.0,0.2,rest
23.0,351.0067243153058,26.010081430763396,4969.940100182979,25.0,3.58,-0.0,0.2,rest
24.0,347.28883752103405,25.735099075632156,4970.059718564468,25.0,3.58,-0.0,0.2,rest
25.0,348.11098675403235,25.79641568548388,4970.004979670861,25.0,3.58,-0.0,0.2,rest
26.0,349.82522790794485,25.923813178366284,4970.027931147808,25.0,3.58,-0.0,0.2,rest
27.0,349.57780958842363,25.905902562105453,4970.017708820777,25.0,3.58,-0.0,0.2,rest
28.0,350.2136429974986,25.95341799981471,4969.984726393128,25.0,3.58,-0.0,0.2,rest
